date	close	volume
07/08/2009	3521.14	3551697
10/08/2009	3504.54	2091477
11/08/2009	3456.18	2653974
12/08/2009	3507.24	2502963
13/08/2009	3524.39	2872275
14/08/2009	3495.27	2748265
17/08/2009	3419.69	2835014
18/08/2009	3450.69	1844735
19/08/2009	3450.34	2132861
20/08/2009	3505.32	2485341
21/08/2009	3615.81	4055922
24/08/2009	3652.17	2736105
25/08/2009	3680.61	2877158
26/08/2009	3668.34	3301617
27/08/2009	3648.53	2917953
28/08/2009	3693.14	3513268
31/08/2009	3653.54	2247572
01/09/2009	3583.44	3490053
02/09/2009	3573.13	3641676
03/09/2009	3553.51	2896353
04/09/2009	3598.76	3095232
07/09/2009	3652.83	2334291
08/09/2009	3660.96	3285633
09/09/2009	3707.69	3758866
10/09/2009	3705.87	3473670
11/09/2009	3734.89	3516799
14/09/2009	3730.61	2919713
15/09/2009	3752.21	3557873
16/09/2009	3813.79	4184639
17/09/2009	3835.27	4242941
18/09/2009	3827.84	7365628
21/09/2009	3812.16	3189812
22/09/2009	3823.52	3060287
23/09/2009	3821.79	2992532
24/09/2009	3758.36	3792316
25/09/2009	3739.14	3098697
28/09/2009	3825	3099658
29/09/2009	3814.1	3804504
30/09/2009	3795.41	4059167
01/10/2009	3720.77	3572648
02/10/2009	3649.9	4276141
05/10/2009	3675.01	3096253
06/10/2009	3770.21	4361740
07/10/2009	3756.41	3743897
08/10/2009	3806.81	4113413
09/10/2009	3799.61	3040303
12/10/2009	3845.8	3333121
13/10/2009	3801.39	3695670
14/10/2009	3882.67	4515652
15/10/2009	3883.83	3807244
16/10/2009	3827.6	4569537
19/10/2009	3892.36	3114402
20/10/2009	3871.45	3422501
21/10/2009	3873.22	3723092
22/10/2009	3820.85	3343681
23/10/2009	3808.24	4272950
26/10/2009	3744.45	3222216
27/10/2009	3743.95	3720264
28/10/2009	3663.78	4575560
29/10/2009	3714.02	4187657
30/10/2009	3607.69	4845111
02/11/2009	3639.46	3319520
03/11/2009	3584.25	3652858
04/11/2009	3670.33	3538699
05/11/2009	3708.73	2902475
06/11/2009	3707.29	3334666
09/11/2009	3785.49	3363715
10/11/2009	3785.59	2686195
11/11/2009	3814.39	2840001
12/11/2009	3808.07	3119778
13/11/2009	3806.01	2591713
16/11/2009	3863.16	3224976
17/11/2009	3829.06	2824033
18/11/2009	3828.16	2917067
19/11/2009	3760.22	3420626
20/11/2009	3729.36	3823070
23/11/2009	3813.17	3019927
24/11/2009	3784.62	3283072
25/11/2009	3809.16	2798576
26/11/2009	3679.23	3546814
27/11/2009	3721.45	3312447
30/11/2009	3680.15	3406584
01/12/2009	3775.74	2891589
02/12/2009	3795.92	2981516
03/12/2009	3799.11	3044678
04/12/2009	3846.62	3381728
07/12/2009	3840.05	2190073
08/12/2009	3785.3	3247490
09/12/2009	3757.39	3085943
10/12/2009	3798.38	3069241
11/12/2009	3803.72	3050143
14/12/2009	3830.44	2368773
15/12/2009	3834.09	2683745
16/12/2009	3875.82	3309246
17/12/2009	3830.82	3185438
18/12/2009	3794.44	5412249
21/12/2009	3872.06	2664356
22/12/2009	3898.38	2460534
23/12/2009	3910.75	2008405
24/12/2009	3912.73	439547
28/12/2009	3947.15	1179368
29/12/2009	3959.98	1661961
30/12/2009	3935.5	1248180
31/12/2009	3936.33	589818
04/01/2010	4013.97	2812855
05/01/2010	4012.91	3086281
06/01/2010	4017.67	2807193
07/01/2010	4024.8	2901586
08/01/2010	4045.14	3437101
11/01/2010	4043.09	3012717
12/01/2010	4000.05	3387873
13/01/2010	4000.86	3352249
14/01/2010	4015.77	3174351
15/01/2010	3954.38	4473829
18/01/2010	3977.46	2308731
19/01/2010	4009.67	3102398
20/01/2010	3928.95	3806695
21/01/2010	3862.16	3923125
22/01/2010	3820.78	4468939
25/01/2010	3781.85	3381630
26/01/2010	3807.04	3658755
27/01/2010	3759.8	3629472
28/01/2010	3688.79	4182567
29/01/2010	3739.46	3875993
01/02/2010	3762.01	3058875
02/02/2010	3812.13	3419839
03/02/2010	3793.47	3277374
04/02/2010	3689.25	4330442
05/02/2010	3563.76	7075496
08/02/2010	3607.27	3925391
09/02/2010	3612.76	3946215
10/02/2010	3635.61	4737799
11/02/2010	3616.75	4672615
12/02/2010	3599.07	3929429
15/02/2010	3609.22	1977241
16/02/2010	3669.04	3259000
17/02/2010	3725.21	3818746
18/02/2010	3747.83	3798753
19/02/2010	3769.54	3729399
22/02/2010	3756.7	2917702
23/02/2010	3707.06	3589533
24/02/2010	3715.68	3136425
25/02/2010	3640.77	3988892
26/02/2010	3708.8	3978816
01/03/2010	3769.54	3518829
02/03/2010	3811.92	3092796
03/03/2010	3842.52	3169641
04/03/2010	3828.41	3553360
05/03/2010	3910.42	3877626
08/03/2010	3903.54	2770648
09/03/2010	3910.01	3182812
10/03/2010	3943.55	3194341
11/03/2010	3928.95	3106299
12/03/2010	3927.4	3286145
15/03/2010	3890.91	2661016
16/03/2010	3938.95	2908241
17/03/2010	3957.89	3298760
18/03/2010	3938.18	3048880
19/03/2010	3925.44	5320237
22/03/2010	3928	3119966
